FAC_STATE,FAC_DERIVED_CD113
AK,1
AK,3
AK,4
AK,5
AK,6
AK,7
AK,8
AK,9
AK,10
AK,11
AK,12
AK,13
AL,1
AL,2
AL,3
AL,4
AL,5
AL,6
AL,7
AL,8
AL,9
AL,10
AL,14
AR,1
AR,2
AR,3
AR,4
AR,5
AR,6
AR,7
AR,8
AR,10
AR,29
AZ,1
AZ,2
AZ,3
AZ,4
AZ,5
AZ,6
AZ,7
AZ,8
AZ,9
AZ,12
CA,1
CA,2
CA,3
CA,4
CA,5
CA,6
CA,7
CA,8
CA,9
CA,10
CA,11
CA,12
CA,13
CA,14
CA,15
CA,16
CA,17
CA,18
CA,19
CA,20
CA,21
CA,22
CA,23
CA,24
CA,25
CA,26
CA,27
CA,28
CA,29
CA,30
CA,31
CA,32
CA,33
CA,34
CA,35
CA,36
CA,37
CA,38
CA,39
CA,40
CA,41
CA,42
CA,43
CA,44
CA,45
CA,46
CA,47
CA,48
CA,49
CA,50
CA,51
CA,52
CA,53
CO,1
CO,2
CO,3
CO,4
CO,5
CO,6
CO,7
CO,13
CO,18
CO,29
CO,32
CO,33
CO,35
CO,36
CT,1
CT,2
CT,3
CT,4
CT,5
CT,17
CT,23
DC,0
DC,2
DC,4
DC,5
DC,8
DC,10
DE,1
DE,2
DE,7
FL,1
FL,2
FL,3
FL,4
FL,5
FL,6
FL,7
FL,8
FL,9
FL,10
FL,11
FL,12
FL,13
FL,14
FL,15
FL,16
FL,17
FL,18
FL,19
FL,20
FL,21
FL,22
FL,23
FL,24
FL,25
FL,26
FL,27
FL,46
GA,1
GA,2
GA,3
GA,4
GA,5
GA,6
GA,7
GA,8
GA,9
GA,10
GA,11
GA,12
GA,13
GA,14
GA,15
GA,17
GA,27
GA,31
GM,8
GM,18
GM,22
GM,29
HI,1
HI,2
HI,6
IA,1
IA,2
IA,3
IA,4
IA,5
IA,6
IA,7
IA,8
IA,17
IA,28
ID,1
ID,2
ID,5
ID,6
ID,9
ID,15
IL,1
IL,2
IL,3
IL,4
IL,5
IL,6
IL,7
IL,8
IL,9
IL,10
IL,11
IL,12
IL,13
IL,14
IL,15
IL,16
IL,17
IL,18
IL,24
IL,28
IN,1
IN,2
IN,3
IN,4
IN,5
IN,6
IN,7
IN,8
IN,9
IN,14
IN,15
IN,18
KS,1
KS,2
KS,3
KS,4
KS,5
KS,6
KS,7
KS,8
KS,9
KS,10
KS,11
KS,12
KS,13
KS,15
KS,16
KS,18
KS,19
KS,24
KS,31
KS,32
KS,45
KS,47
KY,1
KY,2
KY,3
KY,4
KY,5
KY,6
KY,8
KY,9
KY,12
KY,13
KY,15
KY,19
LA,1
LA,2
LA,3
LA,4
LA,5
LA,6
LA,7
LA,10
LA,15
LA,18
LA,22
LA,36
MA,1
MA,2
MA,3
MA,4
MA,5
MA,6
MA,7
MA,8
MA,9
MA,19
MB,6
MD,0
