FAC_STATE,FAC_COUNTY
AA,ALBERTA
AA,BRITISH COLUMBIA
AB,KINGS 
AK,ALASKA
AK,ALEUTIAN ISLANDS
AK,ALEUTIANS EAST
AK,ALEUTIANS EAST (B)
AK,ALEUTIANS EAST BOROUGH
AK,ALEUTIANS WEST
AK,ALEUTIANS WEST (CA)
AK,ALEUTIANS WEST CENSUS AREA
AK,ANCHORAGE
AK,ANCHORAGE MUNICIPALITY
AK,BARROW COUNTY
AK,BETHEL
AK,BETHEL (CA)
AK,BETHEL CENSUS AREA
AK,BRISTOL BAY 
AK,BRISTOL BAY BOROUGH
AK,COLUMBIA COUNTY
AK,DEKALB COUNTY
AK,DENALI
AK,DENALI BOROUGH
AK,DILLINGHAM
AK,DILLINGHAM (CA)
AK,DILLINGHAM CENSUS AREA
AK,FAIRBANKS
AK,FAIRBANKS NORTH STAR
AK,FAIRBANKS NORTH STAR BOROUGH
AK,FORSYTH
AK,FULTON COUNTY
AK,GWINNETT COUNTY
AK,HAINES
AK,HAINES BOROUGH
AK,HALL COUNTY
AK,HENRY COUNTY
AK,HOONAH ANGOON
AK,HOONAH-ANGOON
AK,HOONAH-ANGOON CENSUS AREA
AK,JACKSON COUNTY
AK,JUNEAU
AK,JUNEAU CITY AND 
AK,JUNEAU CITY AND BOROUGH
AK,KENAI PENINSULA
AK,KENAI PENINSULA BOROUGH
AK,KETCHIKAN GATEWAY 
AK,KETCHIKAN GATEWAY BOROUGH
AK,KING COUNTY
AK,KODIAK ISLAND
AK,KODIAK ISLAND BOROUGH
AK,LAKE AND PENINSULA
AK,LAKE AND PENINSULA BOROUGH
AK,LAURENS
AK,MATANUSKA SUSITNA
AK,MATANUSKA-SUSITNA 
AK,MATANUSKA-SUSITNA BOROUGH
AK,MATANUSKA-SUSITNA D
AK,NOME
AK,NOME (CA)
AK,NOME CENSUS AREA
AK,NORTH SLOPE
AK,NORTH SLOPE BOROUGH
AK,NORTHWEST ARCTIC
AK,NORTHWEST ARCTIC BOROUGH
AK,OCONEE COUNTY
AK,PETERSBURG
AK,PETERSBURG CENSUS AREA
AK,PORTABLE SOURCE
AK,PRINCE OF WALES HYDER
AK,PRINCE OF WALES-HYDER
AK,PRINCE OF WALES-HYDER CENSUS AREA
AK,PRINCE OF WALES-OUTER KET
AK,PRINCE OF WALES-OUTER KETCHIKAN(CA)
AK,PRINCE WALES KETCHIKAN
AK,"Prince-of-Wales-Hyder,AK"
AK,RICHMOND COUNTY
AK,SITKA
AK,SITKA CITY AND 
AK,SITKA CITY AND BOROUGH
AK,SKAGWAY
